"date","new_cases","PCR","TestAc","activos","hospitalized","hospitalized_new","hospitalized_accumulated","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","cases_14days","cases_7days","cases_PCR_14days","cases_PCR_7days","daily_cases","daily_cases_avg7","daily_cases_PCR","daily_cases_PCR_avg7","daily_deaths","daily_deaths_inc","daily_deaths_avg3","daily_deaths_avg7","deaths_last_week"
2020-12-21,1967,3126,84050,14564,9013,8845,83995,1702,62246,1884376,1133690,6411,114501,63860,8161,-19253,9363,9122.9,6689,-2750.4,285,0.5,194.7,213.6,1495
2020-12-22,4314,2492,84237,14603,8887,8848,84216,1667,62449,1895075,1139573,6484,121943,63723,12491,33761,10699,9103.3,5883,4823,203,0.3,210.7,200.9,1406
2020-12-23,4489,3265,84439,7750,8531,8831,84409,1685,62588,1907973,1147364,6517,126661,65891,15413,35693,12898,9413,7791,5099,139,0.2,209,189.7,1328
2020-12-24,4312,1718,84449,7864,8371,8671,8671,815,62689,1917725,1151596,6526,127362,65162,14694,34427,9752,9308.9,4232,4918.1,101,0.2,147.7,179,1253
2020-12-25,1020,739,84455,7678,8407,8934,84711,1267,62823,1920763,1153761,4114,120426,57576,11206,31092,3038,8225.1,2165,4441.7,134,0.2,124.7,165.9,1161
2020-12-26,2099,1002,84474,7672,8773,8826,84852,1658,62971,1927475,1156386,6531,121652,56840,11286,31223,6712,8120,2625,4460.4,148,0.2,127.7,164.9,1154
2020-12-27,1210,741,84485,14753,8966,8844,85010,1363,63095,1932252,1159103,6540,122134,57239,12272,32102,4777,8177,2717,4586,124,0.2,135.3,162,1134
2020-12-28,3604,4501,84643,15092,9332,8961,85270,1784,63471,1946324,1169953,6590,125808,61948,17010,36263,14072,8849.7,10850,5180.4,376,0.6,216,175,1225
2020-12-29,6534,3073,84813,15458,9356,9034,85581,1791,63708,1964489,1180270,6645,133137,69414,74458,40697,18165,9916.3,10317,5813.9,237,0.4,245.7,179.9,1259
2020-12-30,5989,3666,85021,8314,9130,8966,88156,1783,63932,1982291,1191761,6671,140209,74318,80090,44397,17802,10616.9,11491,6342.4,224,0.4,279,192,1344
2020-12-31,5742,2556,85023,8622,8973,8787,11139,1180,64072,1994202,1198134,6675,141639,76477,80965,46538,11911,10925.3,6373,6648.3,140,0.2,200.3,197.6,1383
2021-01-01,1620,894,85055,8543,9143,9147,86201,1314,64185,1999940,1201578,6677,136753,79177,78909,47817,5738,11311,3444,6831,113,0.2,159,194.6,1362
2021-01-02,3298,1280,85073,7782,9670,9023,86425,1760,64307,2009653,1205837,4247,139018,82178,80674,49451,9713,11739.7,4259,7064.4,122,0.2,125,190.9,1336
2021-01-03,2197,1033,85085,17796,10101,9016,86705,1407,64401,2017657,1209941,6688,142644,85405,82940,50838,8004,12200.7,4104,7262.6,94,0.1,109.7,186.6,1306
2021-01-04,5048,6424,85296,16732,10677,9210,87088,1961,64747,2038111,1224848,6711,153735,91787,91158,54895,20454,13112.4,14907,7842.1,346,0.5,187.3,182.3,1276
2021-01-05,8571,4384,85519,9373,10698,8888,8986,1590,64996,2062294,1240570,6726,167219,97805,100997,60300,24183,13972.1,15722,8614.3,249,0.4,229.7,184,1288
2021-01-06,3856,2841,85533,18299,11005,9490,87746,1519,65178,2075072,1247737,6730,167099,92781,100373,55976,12778,13254.4,7167,7996.6,182,0.3,259,178,1246
2021-01-07,8297,4349,85777,18479,11597,9249,90509,2051,65415,2099046,1261666,6766,181321,104844,110070,63532,23974,14977.7,13929,9076,237,0.4,222.7,191.9,1343
2021-01-08,10228,5540,86036,10684,12004,9289,88463,2057,65688,2124944,1277292,6799,204181,125004,123531,75714,25898,17857.7,15626,10816.3,273,0.4,230.7,214.7,1503
2021-01-09,11404,2234,86049,11367,12264,9140,91067,2038,65908,2144364,1283329,6807,216889,134711,126943,77492,19420,19244.4,6037,11070.3,220,0.3,243.3,228.7,1601
2021-01-10,5235,1844,86076,20793,12679,9149,88824,1748,66083,2154934,1288083,6816,222682,137277,128980,78142,10570,19611,4754,11163.1,175,0.3,222.7,240.3,1682
2021-01-11,7792,8202,86381,21042,13695,9319,91600,2287,66451,2184578,1306020,6858,238254,146467,136067,81172,29644,20923.9,17937,11596,368,0.6,254.3,243.4,1704
2021-01-12,11989,5433,86610,22138,14239,9506,92069,2356,66774,2212012,1320912,6941,247523,149718,140642,80342,27434,21388.3,14892,11477.4,323,0.5,288.7,254,1778
2021-01-13,12518,6011,86835,23566,14738,9572,92610,2435,67050,2244507,1337792,6967,262216,169435,146031,90055,32495,24205,16880,12865,276,0.4,322.3,267.4,1872
2021-01-14,13883,6660,87140,24856,15416,9600,93143,2542,67324,2279233,1355214,7002,285031,180187,157080,93548,34726,25741,17422,13364,274,0.4,291,272.7,1909
2021-01-15,15699,6344,87337,15509,15863,9658,93666,2633,67625,2316900,1373648,7030,316960,191956,172070,96356,37667,27422.3,18434,13765.1,301,0.4,283.7,276.7,1937
2021-01-16,15145,2639,87366,16427,16881,9700,91621,2593,67859,2344195,1381994,7039,334542,199831,176157,98665,27295,28547.3,8346,14095,234,0.3,269.7,278.7,1951
2021-01-17,7804,1913,87402,26764,18144,9683,92050,2708,68095,2362760,1388077,7078,345103,207826,178136,99994,18565,29689.4,6083,14284.9,236,0.3,257,287.4,2012
2021-01-18,8874,10480,87722,26893,19444,9853,95194,2965,68641,2396576,1410110,7118,358465,211998,185262,104090,33816,30285.4,22033,14870,546,0.8,338.7,312.9,2190
2021-01-19,15973,5591,88033,17652,20430,9964,95867,3068,69080,2432269,1428769,7165,369975,220257,188199,107857,35693,31465.3,18659,15408.1,439,0.6,407,329.4,2306
2021-01-20,18365,6275,88435,28218,21083,10083,96588,3216,69532,2472991,1447137,7197,397919,228484,199400,109345,40722,32640.6,18368,15620.7,452,0.7,479,354.6,2482
2021-01-21,16699,6509,88776,19142,22002,10090,97266,3322,69984,2512270,1465221,7241,413224,233037,203555,110007,39279,33291,18084,15715.3,452,0.7,447.7,380,2660
2021-01-22,16769,6870,89108,20152,22441,10170,97948,3480,70452,2554057,1484549,7325,429113,237157,207257,110901,41787,33879.6,19328,15843,468,0.7,457.3,403.9,2827
2021-01-23,13418,2539,89153,20843,23325,10010,95698,3410,70826,2581177,1492785,7359,436813,236982,209456,110791,27120,33854.6,8236,15827.3,374,0.5,431.3,423.9,2967
2021-01-24,10221,1839,89223,21175,24358,10106,96218,3501,71148,2603047,1498669,7385,448113,240287,210586,110592,21870,34326.7,5884,15798.9,322,0.5,388,436.1,3053
2021-01-25,13663,9755,89794,20469,25366,10239,99465,3819,71791,2640807,1519057,4733,456229,244231,213037,108947,37760,34890.1,20388,15563.9,643,0.9,446.3,450,3150
2021-01-26,17360,5385,90380,31043,25450,10307,100123,3911,72320,2678326,1535619,7544,466314,246057,214707,106850,37519,35151,16562,15264.3,529,0.7,498,462.9,3240
