"date","province","hospitalized","intensive_care"
"18/11/2020","Las Palmas",51,18
"18/11/2020","Santa Cruz de Tenerife",133,28
"19/11/2020","Las Palmas",51,17
"19/11/2020","Santa Cruz de Tenerife",122,29
"20/11/2020","Las Palmas",47,16
"20/11/2020","Santa Cruz de Tenerife",115,28
"21/11/2020","Las Palmas",50,16
"21/11/2020","Santa Cruz de Tenerife",125,27
"22/11/2020","Las Palmas",51,16
"22/11/2020","Santa Cruz de Tenerife",128,25
"23/11/2020","Las Palmas",58,16
"23/11/2020","Santa Cruz de Tenerife",129,24
"24/11/2020","Las Palmas",61,17
"24/11/2020","Santa Cruz de Tenerife",136,23
"25/11/2020","Las Palmas",58,17
"25/11/2020","Santa Cruz de Tenerife",119,24
"26/11/2020","Las Palmas",58,19
"26/11/2020","Santa Cruz de Tenerife",119,25
"27/11/2020","Las Palmas",53,19
"27/11/2020","Santa Cruz de Tenerife",102,23
"28/11/2020","Las Palmas",56,19
"28/11/2020","Santa Cruz de Tenerife",110,24
"29/11/2020","Las Palmas",57,19
"29/11/2020","Santa Cruz de Tenerife",121,24
"30/11/2020","Las Palmas",54,18
"30/11/2020","Santa Cruz de Tenerife",119,24
"01/12/2020","Las Palmas",47,18
"01/12/2020","Santa Cruz de Tenerife",128,26
"02/12/2020","Las Palmas",50,17
"02/12/2020","Santa Cruz de Tenerife",116,26
"03/12/2020","Las Palmas",55,18
"03/12/2020","Santa Cruz de Tenerife",121,29
"04/12/2020","Las Palmas",52,17
"04/12/2020","Santa Cruz de Tenerife",133,28
"05/12/2020","Las Palmas",53,18
"05/12/2020","Santa Cruz de Tenerife",136,28
"06/12/2020","Las Palmas",58,18
"06/12/2020","Santa Cruz de Tenerife",143,29
"07/12/2020","Las Palmas",62,15
"07/12/2020","Santa Cruz de Tenerife",142,28
"08/12/2020","Las Palmas",65,16
"08/12/2020","Santa Cruz de Tenerife",155,29
"09/12/2020","Las Palmas",57,15
"09/12/2020","Santa Cruz de Tenerife",169,29
"10/12/2020","Las Palmas",53,16
"10/12/2020","Santa Cruz de Tenerife",165,30
