,ccaa,fallecidos,fecha
429,Extremadura,472,8/5/2020
430,Galicia,588,8/5/2020
431,Madrid,8552,8/5/2020
432,Melilla,2,8/5/2020
433,Murcia,137,8/5/2020
434,Navarra,484,8/5/2020
435,País Vasco,1390,8/5/2020
436,La Rioja,342,8/5/2020
437,Andalucía,1317,9/5/2020
438,Aragón,823,9/5/2020
439,Asturias,293,9/5/2020
440,Baleares,207,9/5/2020
441,Canarias,148,9/5/2020
442,Cantabria,201,9/5/2020
443,Castilla La Mancha,2738,9/5/2020
444,Castilla y León,1885,9/5/2020
445,Cataluña,5507,9/5/2020
446,Ceuta,4,9/5/2020
447,C. Valenciana,1315,9/5/2020
448,Extremadura,477,9/5/2020
449,Galicia,591,9/5/2020
450,Madrid,8598,9/5/2020
451,Melilla,2,9/5/2020
452,Murcia,138,9/5/2020
453,Navarra,487,9/5/2020
454,País Vasco,1403,9/5/2020
455,La Rioja,344,9/5/2020
456,Andalucía,1320,10/5/2020
457,Aragón,824,10/5/2020
458,Asturias,295,10/5/2020
459,Baleares,209,10/5/2020
460,Canarias,148,10/5/2020
461,Cantabria,201,10/5/2020
462,Castilla La Mancha,2759,10/5/2020
463,Castilla y León,1897,10/5/2020
464,Cataluña,5532,10/5/2020
465,Ceuta,4,10/5/2020
466,C. Valenciana,1323,10/5/2020
467,Extremadura,480,10/5/2020
468,Galicia,592,10/5/2020
469,Madrid,8644,10/5/2020
470,Melilla,2,10/5/2020
471,Murcia,139,10/5/2020
472,Navarra,488,10/5/2020
473,País Vasco,1418,10/5/2020
474,La Rioja,346,10/5/2020
475,Andalucía,1322,11/5/2020
476,Aragón,825,11/5/2020
477,Asturias,299,11/5/2020
478,Baleares,209,11/5/2020
479,Canarias,149,11/5/2020
480,Cantabria,201,11/5/2020
481,Castilla La Mancha,2786,11/5/2020
482,Castilla y León,1905,11/5/2020
483,Cataluña,5555,11/5/2020
484,Ceuta,4,11/5/2020
485,C. Valenciana,1330,11/5/2020
486,Extremadura,483,11/5/2020
487,Galicia,593,11/5/2020
488,Madrid,8683,11/5/2020
489,Melilla,2,11/5/2020
490,Murcia,139,11/5/2020
491,Navarra,490,11/5/2020
492,País Vasco,1423,11/5/2020
493,La Rioja,346,11/5/2020
494,Andalucía,1326,12/5/2020
495,Aragón,828,12/5/2020
496,Asturias,304,12/5/2020
497,Baleares,210,12/5/2020
498,Canarias,151,12/5/2020
499,Cantabria,203,12/5/2020
500,Castilla La Mancha,2811,12/5/2020
501,Castilla y León,1914,12/5/2020
502,Cataluña,5621,12/5/2020
503,Ceuta,4,12/5/2020
504,C. Valenciana,1336,12/5/2020
505,Extremadura,487,12/5/2020
506,Galicia,595,12/5/2020
507,Madrid,8720,12/5/2020
508,Melilla,2,12/5/2020
509,Murcia,139,12/5/2020
510,Navarra,493,12/5/2020
511,País Vasco,1429,12/5/2020
512,La Rioja,347,12/5/2020
513,Andalucía,1332,13/5/2020
514,Aragón,829,13/5/2020
515,Asturias,307,13/5/2020
516,Baleares,215,13/5/2020
517,Canarias,151,13/5/2020
518,Cantabria,205,13/5/2020
519,Castilla La Mancha,2835,13/5/2020
520,Castilla y León,1919,13/5/2020
521,Cataluña,5692,13/5/2020
522,Ceuta,4,13/5/2020
523,C. Valenciana,1341,13/5/2020
524,Extremadura,489,13/5/2020
525,Galicia,597,13/5/2020
526,Madrid,8760,13/5/2020
527,Melilla,2,13/5/2020
528,Murcia,142,13/5/2020
529,Navarra,494,13/5/2020
530,País Vasco,1442,13/5/2020
531,La Rioja,348,13/5/2020
532,Andalucía,1336,14/5/2020
533,Aragón,836,14/5/2020
534,Asturias,308,14/5/2020
535,Baleares,216,14/5/2020
536,Canarias,151,14/5/2020
537,Cantabria,205,14/5/2020
538,Castilla La Mancha,2852,14/5/2020
539,Castilla y León,1925,14/5/2020
540,Cataluña,5823,14/5/2020
541,Ceuta,4,14/5/2020
542,C. Valenciana,1349,14/5/2020
543,Extremadura,492,14/5/2020
544,Galicia,601,14/5/2020
545,Madrid,8779,14/5/2020
546,Melilla,2,14/5/2020
547,Murcia,142,14/5/2020
548,Navarra,498,14/5/2020
549,País Vasco,1454,14/5/2020
550,La Rioja,348,14/5/2020
551,Andalucía,1344,15/5/2020
552,Aragón,837,15/5/2020
553,Asturias,310,15/5/2020
554,Baleares,216,15/5/2020
555,Canarias,151,15/5/2020
556,Cantabria,206,15/5/2020
557,Castilla La Mancha,2870,15/5/2020
558,Castilla y León,1930,15/5/2020
559,Cataluña,5882,15/5/2020
560,Ceuta,4,15/5/2020
561,C. Valenciana,1358,15/5/2020
562,Extremadura,494,15/5/2020
563,Galicia,601,15/5/2020
564,Madrid,8809,15/5/2020
565,Melilla,2,15/5/2020
566,Murcia,143,15/5/2020
567,Navarra,500,15/5/2020
568,País Vasco,1454,15/5/2020
569,La Rioja,348,15/5/2020
570,Andalucía,1355,16/5/2020
571,Aragón,838,16/5/2020
572,Asturias,313,16/5/2020
573,Baleares,216,16/5/2020
574,Canarias,151,16/5/2020
575,Cantabria,206,16/5/2020
576,Castilla La Mancha,2883,16/5/2020
577,Castilla y León,1940,16/5/2020
578,Cataluña,5915,16/5/2020
579,Ceuta,4,16/5/2020
580,C. Valenciana,1365,16/5/2020
581,Extremadura,497,16/5/2020
582,Galicia,604,16/5/2020
583,Madrid,8826,16/5/2020
584,Melilla,2,16/5/2020
585,Murcia,144,16/5/2020
586,Navarra,501,16/5/2020
587,País Vasco,1455,16/5/2020
588,La Rioja,348,16/5/2020
589,Andalucía,1358,17/5/2020
590,Aragón,838,17/5/2020
591,Asturias,315,17/5/2020
592,Baleares,218,17/5/2020
593,Canarias,151,17/5/2020
594,Cantabria,207,17/5/2020
595,Castilla La Mancha,2893,17/5/2020
596,Castilla y León,1946,17/5/2020
597,Cataluña,5944,17/5/2020
598,Ceuta,4,17/5/2020
599,C. Valenciana,1366,17/5/2020
600,Extremadura,500,17/5/2020
601,Galicia,606,17/5/2020
602,Madrid,8847,17/5/2020
603,Melilla,2,17/5/2020
604,Murcia,144,17/5/2020
605,Navarra,503,17/5/2020
606,País Vasco,1459,17/5/2020
607,La Rioja,349,17/5/2020
608,Andalucía,1358,18/5/2020
609,Aragón,838,18/5/2020
610,Asturias,317,18/5/2020
611,Baleares,218,18/5/2020
612,Canarias,153,18/5/2020
613,Cantabria,207,18/5/2020
614,Castilla La Mancha,2898,18/5/2020
