"","Fecha","Provincia","Isla","Hispitalizados","UCI - Críticas con respirador","UCI - Críticas sin respirador"
"342","06/09/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"343","06/09/2020","Santa Cruz de Tenerife","La Gomera",2,0,0
"344","06/10/2020","Santa Cruz de Tenerife","Tenerife",88,25,0
"345","06/10/2020","Las Palmas","Gran Canaria",112,36,0
"346","06/10/2020","Las Palmas","Fuerteventura",3,2,0
"347","06/10/2020","Las Palmas","Lanzarote",3,2,0
"348","06/10/2020","Santa Cruz de Tenerife","La Palma",1,0,0
"349","06/10/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"350","06/10/2020","Santa Cruz de Tenerife","La Gomera",1,0,0
"351","06/11/2020","Santa Cruz de Tenerife","Tenerife",120,29,0
"352","06/11/2020","Las Palmas","Gran Canaria",40,21,0
"353","06/11/2020","Las Palmas","Fuerteventura",2,0,0
"354","06/11/2020","Las Palmas","Lanzarote",0,0,0
"355","06/11/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"356","06/11/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"357","06/11/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"358","07/04/2020","Santa Cruz de Tenerife","Tenerife",44,0,0
"359","07/04/2020","Las Palmas","Gran Canaria",130,40,0
"360","07/04/2020","Las Palmas","Fuerteventura",31,18,0
"361","07/04/2020","Las Palmas","Lanzarote",31,22,0
"362","07/04/2020","Santa Cruz de Tenerife","La Palma",136,22,0
"363","07/04/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"364","07/04/2020","Santa Cruz de Tenerife","La Gomera",1,0,0
"365","07/05/2020","Santa Cruz de Tenerife","Tenerife",98,10,0
"366","07/05/2020","Las Palmas","Gran Canaria",7,7,0
"367","07/05/2020","Las Palmas","Fuerteventura",0,1,0
"368","07/05/2020","Las Palmas","Lanzarote",3,2,0
"369","07/05/2020","Santa Cruz de Tenerife","La Palma",6,0,0
