fecha,provincia,total_dosis_administradas,personas_con_2_dosis
12/04/2021,Málaga,340903,94319
12/04/2021,Sevilla,421453,120121
13/04/2021,Almería,155350,42657
13/04/2021,Cádiz,276747,72548
13/04/2021,Córdoba,221860,68152
13/04/2021,Granada,237838,65987
13/04/2021,Huelva,125250,34792
13/04/2021,Jaén,168964,49784
13/04/2021,Málaga,352607,95487
13/04/2021,Sevilla,436840,122668
14/04/2021,Almería,162377,43406
14/04/2021,Cádiz,287111,73566
14/04/2021,Córdoba,227886,69048
14/04/2021,Granada,245057,66605
14/04/2021,Huelva,128747,35369
14/04/2021,Jaén,175255,51626
14/04/2021,Málaga,366928,97467
14/04/2021,Sevilla,453926,124342
15/04/2021,Almería,168910,45127
15/04/2021,Cádiz,296551,74764
15/04/2021,Córdoba,234932,70093
15/04/2021,Granada,254619,67687
15/04/2021,Huelva,134423,36826
15/04/2021,Jaén,181090,52402
15/04/2021,Málaga,379391,99513
15/04/2021,Sevilla,472382,128209
16/04/2021,Almería,174601,45491
16/04/2021,Cádiz,305749,74547
16/04/2021,Córdoba,241713,72298
16/04/2021,Granada,260112,68834
16/04/2021,Huelva,137910,37281
16/04/2021,Jaén,186463,53876
16/04/2021,Málaga,392382,101945
16/04/2021,Sevilla,489160,130774
17/04/2021,Almería,176557,47904
17/04/2021,Cádiz,306986,77134
17/04/2021,Córdoba,247322,72837
17/04/2021,Granada,260598,68985
17/04/2021,Huelva,138020,37282
17/04/2021,Jaén,186669,53921
17/04/2021,Málaga,392885,102161
17/04/2021,Sevilla,490022,130780
18/04/2021,Almería,176812,47904
18/04/2021,Cádiz,307880,77139
18/04/2021,Córdoba,248731,72837
18/04/2021,Granada,260610,68989
18/04/2021,Huelva,138020,37282
18/04/2021,Jaén,186705,53943
18/04/2021,Málaga,392890,102162
18/04/2021,Sevilla,493234,133462
19/04/2021,Almería,181672,48961
19/04/2021,Cádiz,316403,80541
19/04/2021,Córdoba,252590,74773
19/04/2021,Granada,267221,72048
