,Comunidad,Fecha,Fallecidos
436,La Rioja,2020-05-08,342
437,Andalucia,2020-05-09,1317
438,Aragon,2020-05-09,823
439,Asturias,2020-05-09,293
440,Baleares,2020-05-09,207
441,Canarias,2020-05-09,148
442,Cantabria,2020-05-09,201
443,Castilla La Mancha,2020-05-09,2738
444,Castilla y Leon,2020-05-09,1885
445,Cataluña,2020-05-09,5507
446,Ceuta,2020-05-09,4
447,C.Valenciana,2020-05-09,1315
448,Extremadura,2020-05-09,477
449,Galicia,2020-05-09,591
450,Madrid,2020-05-09,8598
451,Melilla,2020-05-09,2
452,Murcia,2020-05-09,138
453,Navarra,2020-05-09,487
454,Pais Vasco,2020-05-09,1403
455,La Rioja,2020-05-09,344
456,Andalucia,2020-05-10,1320
457,Aragon,2020-05-10,824
458,Asturias,2020-05-10,295
459,Baleares,2020-05-10,209
460,Canarias,2020-05-10,148
461,Cantabria,2020-05-10,201
462,Castilla La Mancha,2020-05-10,2759
463,Castilla y Leon,2020-05-10,1897
464,Cataluña,2020-05-10,5532
465,Ceuta,2020-05-10,4
466,C.Valenciana,2020-05-10,1323
467,Extremadura,2020-05-10,480
468,Galicia,2020-05-10,592
469,Madrid,2020-05-10,8644
470,Melilla,2020-05-10,2
471,Murcia,2020-05-10,139
472,Navarra,2020-05-10,488
473,Pais Vasco,2020-05-10,1418
474,La Rioja,2020-05-10,346
475,Andalucia,2020-05-11,1322
476,Aragon,2020-05-11,825
477,Asturias,2020-05-11,299
478,Baleares,2020-05-11,209
479,Canarias,2020-05-11,149
480,Cantabria,2020-05-11,201
481,Castilla La Mancha,2020-05-11,2786
482,Castilla y Leon,2020-05-11,1905
483,Cataluña,2020-05-11,5555
484,Ceuta,2020-05-11,4
485,C.Valenciana,2020-05-11,1330
486,Extremadura,2020-05-11,483
487,Galicia,2020-05-11,593
488,Madrid,2020-05-11,8683
489,Melilla,2020-05-11,2
490,Murcia,2020-05-11,139
491,Navarra,2020-05-11,490
492,Pais Vasco,2020-05-11,1423
493,La Rioja,2020-05-11,346
494,Andalucia,2020-05-12,1326
495,Aragon,2020-05-12,828
496,Asturias,2020-05-12,304
497,Baleares,2020-05-12,210
498,Canarias,2020-05-12,151
499,Cantabria,2020-05-12,203
500,Castilla La Mancha,2020-05-12,2811
501,Castilla y Leon,2020-05-12,1914
502,Cataluña,2020-05-12,5621
503,Ceuta,2020-05-12,4
504,C.Valenciana,2020-05-12,1336
505,Extremadura,2020-05-12,487
506,Galicia,2020-05-12,595
507,Madrid,2020-05-12,8720
508,Melilla,2020-05-12,2
509,Murcia,2020-05-12,139
