Fecha report,provincia,Hospitalizados,UCI
21/06/2020,Córdoba,5,1
21/06/2020,Granada,9,3
21/06/2020,Huelva,1,1
21/06/2020,Jaén,1,1
21/06/2020,Málaga,11,1
21/06/2020,Sevilla,6,1
22/06/2020,Almería,4,0
22/06/2020,Cádiz,7,1
22/06/2020,Córdoba,5,1
22/06/2020,Granada,11,3
22/06/2020,Huelva,1,1
22/06/2020,Jaén,1,1
22/06/2020,Málaga,11,1
22/06/2020,Sevilla,5,1
23/06/2020,Almería,3,0
23/06/2020,Cádiz,7,1
23/06/2020,Córdoba,5,1
23/06/2020,Granada,11,5
23/06/2020,Huelva,2,1
23/06/2020,Jaén,1,1
23/06/2020,Málaga,11,1
23/06/2020,Sevilla,6,1
24/06/2020,Almería,2,0
24/06/2020,Cádiz,7,1
24/06/2020,Córdoba,4,1
24/06/2020,Granada,9,4
24/06/2020,Huelva,2,1
24/06/2020,Jaén,1,1
24/06/2020,Málaga,10,1
24/06/2020,Sevilla,5,1
25/06/2020,Almería,2,0
25/06/2020,Cádiz,7,1
25/06/2020,Córdoba,3,0
25/06/2020,Granada,10,5
25/06/2020,Huelva,3,2
25/06/2020,Jaén,1,1
25/06/2020,Málaga,11,1
25/06/2020,Sevilla,5,1
26/06/2020,Almería,2,0
26/06/2020,Cádiz,7,1
26/06/2020,Córdoba,5,1
26/06/2020,Granada,10,5
26/06/2020,Huelva,2,2
26/06/2020,Jaén,1,1
26/06/2020,Málaga,11,1
26/06/2020,Sevilla,5,1
27/06/2020,Almería,2,0
27/06/2020,Cádiz,7,1
27/06/2020,Córdoba,3,1
27/06/2020,Granada,12,5
27/06/2020,Huelva,2,2
27/06/2020,Jaén,0,0
27/06/2020,Málaga,11,1
27/06/2020,Sevilla,4,1
28/06/2020,Almería,2,0
28/06/2020,Cádiz,7,1
28/06/2020,Córdoba,5,2
28/06/2020,Granada,13,5
28/06/2020,Huelva,2,2
28/06/2020,Jaén,0,0
28/06/2020,Málaga,12,1
28/06/2020,Sevilla,4,1
29/06/2020,Almería,2,0
29/06/2020,Cádiz,8,1
29/06/2020,Córdoba,5,2
29/06/2020,Granada,12,4
29/06/2020,Huelva,2,2
29/06/2020,Jaén,0,0
29/06/2020,Málaga,13,1
29/06/2020,Sevilla,4,2
30/06/2020,Almería,3,1
30/06/2020,Cádiz,8,1
30/06/2020,Córdoba,5,2
30/06/2020,Granada,12,4
30/06/2020,Huelva,2,2
30/06/2020,Jaén,1,0
30/06/2020,Málaga,14,0
30/06/2020,Sevilla,4,2
01/07/2020,Almería,4,1
01/07/2020,Cádiz,8,1
01/07/2020,Córdoba,4,2
01/07/2020,Granada,13,4
01/07/2020,Huelva,2,1
01/07/2020,Jaén,0,0
01/07/2020,Málaga,13,0
01/07/2020,Sevilla,4,2
02/07/2020,Almería,4,1
02/07/2020,Cádiz,7,1
02/07/2020,Córdoba,4,2
02/07/2020,Granada,11,4
02/07/2020,Huelva,2,0
02/07/2020,Jaén,0,0
02/07/2020,Málaga,12,0
02/07/2020,Sevilla,4,2
03/07/2020,Almería,4,1
03/07/2020,Cádiz,6,1
03/07/2020,Córdoba,6,2
03/07/2020,Granada,10,4
03/07/2020,Huelva,2,0
03/07/2020,Jaén,0,0
03/07/2020,Málaga,10,0
03/07/2020,Sevilla,4,2
04/07/2020,Almería,6,1
04/07/2020,Cádiz,5,1
04/07/2020,Córdoba,4,2
04/07/2020,Granada,10,4
04/07/2020,Huelva,2,0
04/07/2020,Jaén,0,0
04/07/2020,Málaga,11,0
04/07/2020,Sevilla,4,2
05/07/2020,Almería,8,2
05/07/2020,Cádiz,5,1
05/07/2020,Córdoba,4,2
05/07/2020,Granada,10,4
05/07/2020,Huelva,2,0
05/07/2020,Jaén,0,0
05/07/2020,Málaga,14,0
